domain,domain_name,question_id,question,concept_explanation,weight,score
D7,Evaluation / release,D7Q2,"Release decisions use repeatable evidence and a documented exception process.","A release record connects the change, evaluation results, approvals, conditions, and rollback plan. Exceptions have an owner, rationale, and expiry.",1,
D7,Evaluation / release,D7Q3,"Post-release observations feed evaluation improvement and release decisions.","Production signals reveal new failure modes, changing data conditions, and regressions. Teams use those findings to update cases, thresholds, and the delivery backlog.",1,
D8,Adversarial testing,D8Q1,"AI systems undergo authorized adversarial testing before material release.","Testing explores realistic misuse, including attempts to bypass safeguards or misuse tools. Scope, stop conditions, environment, and remediation ownership are agreed before testing starts.",2,
D8,Adversarial testing,D8Q2,"Adversarial results are measured over time and drive remediation.","Teams track defined attack outcomes against agreed thresholds and verify that fixes reduce the relevant risk. Results inform release and residual-risk decisions.",1,
D8,Adversarial testing,D8Q3,"Retrieved and untrusted content is tested for instruction-conflict and indirect injection risks.","Tests confirm that untrusted content is treated as data rather than authority, especially where an AI system retrieves content or can invoke tools. Findings improve boundary and runtime controls.",1,
D9,Control plane / lifecycle,D9Q1,"A reconciled registry records every managed AI system and its control state.","The registry links each system to purpose, owner, identity, lifecycle state, platform path, and governance evidence. Reconciliation helps detect unmanaged or duplicate records.",2,
D9,Control plane / lifecycle,D9Q2,"Lifecycle transitions are controlled from onboarding through suspension and retirement.","Teams use repeatable steps for approval, change, review, suspension, and decommissioning. Retirement removes access, dependencies, and records according to policy.",1,
D9,Control plane / lifecycle,D9Q3,"Control evidence is current, discoverable, and linked to lifecycle decisions.","Evidence is sufficient to support a review without relying on individual memory or disconnected files. Material changes trigger updates to the relevant record.",1,
D10,Operate / monitor / FinOps,D10Q1,"AI systems have defined service, risk, and cost operating measures.","Measures cover availability, behavior, security or safety signals, consumption, and unit economics appropriate to the system. Thresholds, owners, and response actions are explicit.",2,
D10,Operate / monitor / FinOps,D10Q2,"Monitoring supports timely incident response, learning, and stakeholder communication.","Teams can detect material degradation or harm, investigate it, communicate status, and follow through on remediation. Reviews convert recurring issues into backlog improvements.",1,
D10,Operate / monitor / FinOps,D10Q3,"Capacity and spend are visible, attributable, and actively optimized.","Consumption is attributed to useful units of work, owners, and services. Teams manage budgets, limits, and efficiency without bypassing required safety or resilience controls.",1,
D11,LLM operations,__D10Q1,"Approved model and prompt assets have owners, version references, and material-change routes.","The operating record identifies the approved model or provider path, prompt or system-instruction asset, accountable owner, version evidence, and route for a material change without copying sensitive prompt content.",2,
D11,LLM operations,__D10Q2,"Model and prompt changes use a defined route for evaluation, release, and customer approval.","Teams classify changes to models, providers, versions, instructions, access paths, or operating dependencies and route material changes to the required evaluation, release, and change processes.",1,
D11,LLM operations,__D10Q3,"Model-provider dependencies have incident, rollback, deprecation, and retirement ownership.","Teams record capacity, quota, region, supplier, support, incident, rollback, deprecation, and retirement dependencies with accountable owners and explicit limitations.",1,
D12,Portfolio governance,____D10Q1,"Leadership has a decision-ready portfolio view of AI value, risk, and control coverage.","The portfolio view connects systems to owners, outcomes, risk tier, control status, material dependencies, and open decisions. It supports prioritization across individual projects.",2,
D12,Portfolio governance,____D10Q2,"Portfolio priorities allocate investment to the highest-value and highest-risk gaps.","Planning weighs expected outcomes, exposure, dependencies, and delivery capacity. Decisions make trade-offs explicit and are revisited as evidence changes.",1,
D12,Portfolio governance,____D10Q3,"Portfolio governance measures progress and retires work that no longer justifies its cost or risk.","Regular reviews compare intended outcomes with actual value, control posture, operating cost, and residual risk. They can redirect, pause, or retire capabilities with clear accountability.",1,
